"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","178/2183","370/9521",0.481081081081081,2.09820108702381,11.7518148884814,2.0232429362168e-27,7.04088541803445e-25,5.70767480953791e-25,"2925/1131/887/9568/2568/165829/185/7200/4986/5733/5646/1138/2558/130574/2691/2696/64106/10874/3362/5697/51052/5443/8001/5618/136/2890/51083/5746/2916/130576/2914/79627/7433/4828/2900/84109/1139/6019/2899/553/2692/4886/2151/347148/2564/133/797/2743/151/2904/2891/55584/53637/5737/57152/7068/7201/5540/2742/5031/84634/1511/2831/2922/6863/150/4922/2903/2358/554/79924/6752/6013/4923/2796/7434/66004/8973/1128/2906/51738/10886/1135/2567/2740/3356/2902/59350/1081/7253/1816/2555/2912/3355/10800/399967/100996758/257313/885/7349/796/2690/5173/23620/4543/5030/4887/799/55879/10316/886/1143/1906/6753/116/6869/344838/3952/2897/1907/1141/152/3640/432355/5026/6755/339403/2569/23566/9340/10911/2917/2556/1443/4295/5368/1814/7425/117579/80763/100506013/4142/3354/387129/2895/2893/1144/56923/6870/5617/3062/3358/9248/399968/1813/4160/3375/100169851/153/160065/6866/4889/1812/84539/2834/11255/1908/2695/2689/4988/4159/122042/1142/186/4852/85569/4158/113091",178
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","117/2183","217/9521",0.539170506912442,2.35155400655674,10.9846167393415,1.40975007070565e-23,2.45296512302782e-21,1.98848957341638e-21,"9074/3868/338785/3889/7051/11240/7357/10686/1828/6273/79852/3854/3857/9071/6279/8688/1830/5317/6785/3887/3875/126410/204219/286887/9517/6271/3892/9080/285848/137075/6768/3853/6274/9333/9076/644672/3852/196374/3872/6281/3891/3885/25984/3861/6282/3713/3655/1286/3850/6277/126637/6280/374454/23581/5046/6699/192666/6275/1285/3918/3856/3914/2053/3691/3890/29943/3888/6283/9075/1287/8687/26154/9119/6276/51702/140807/121214/3884/3851/3882/4014/6706/121391/149461/23562/1288/3855/3886/388697/388698/6705/390792/100288814/353142/2312/242/125115/3859/84648/1041/6703/6278/6698/147409/6704/3849/6700/163778/54474/353132/254910/353139/6707/51350/353145/338324/353131",117
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","125/2183","298/9521",0.419463087248322,1.82945856788423,7.93456666931286,9.24261198644138e-14,1.0721429904272e-11,8.69129828900452e-12,"3572/3595/8200/50604/6374/7066/146433/658/53833/7850/6364/2919/3455/3552/27242/650/7043/3627/58191/5618/9518/3559/9466/2057/2661/10913/26525/9547/2921/10673/654/53832/6355/8792/6354/8741/60401/3601/1524/6362/9235/7124/8808/652/3576/6372/6357/1437/6373/6376/56300/8793/8794/970/3458/3976/58985/5197/1230/6358/6369/8744/133396/3592/6370/1439/282618/9573/151449/3604/3594/3598/10344/4803/9173/27189/2690/6352/4838/5473/50615/10663/5196/3565/356/83729/27178/653/27177/3952/655/9966/3456/282617/55801/8807/6346/6360/4050/59067/3577/282616/4283/115650/27190/3568/1443/338376/269/608/284340/1235/64806/2056/1271/5617/3605/112744/3578/2689/27302/3446/50616/3439/84639",125
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","92/2183","199/9521",0.462311557788945,2.01633913958247,7.90254773723305,2.29563021112833e-13,1.99719828368164e-11,1.61902341205892e-11,"1131/9568/2568/6530/4986/107/6532/2558/115/6511/3362/5443/8001/136/2890/6505/3359/2916/111/2914/79627/2900/5578/1139/2899/6538/2564/2743/151/2904/2891/6571/9177/59345/6506/5031/1103/6863/150/2903/2770/60482/6512/51764/8973/1128/2906/2567/5332/113/5567/3356/2902/1816/2555/2912/3355/114/6572/5173/5030/55879/1143/2786/43/6869/2897/170572/1141/152/5026/285242/2569/2917/2556/5368/57084/1814/3354/2893/6870/3358/1813/4160/153/6866/6570/1812/140679/11255/4988/4159",92
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","94/2183","219/9521",0.429223744292237,1.87202898277892,7.1206771855596,2.51744462789272e-11,1.75214146101333e-09,1.42036875847421e-09,"2099/887/185/7200/30061/7066/658/4986/341208/107/10411/115/2691/2696/117247/9630/51052/5443/5618/4883/111/7433/3667/2057/553/3480/2692/797/151/7068/59345/7201/10268/10266/150/554/2770/6752/1733/2796/7434/2852/51764/10267/51738/5332/113/5567/2740/1081/7253/1816/114/2520/885/7349/796/2690/5173/799/886/2786/6753/3952/152/6755/4842/5744/1443/4295/269/5368/1814/2056/9370/5617/3062/1813/4160/3375/153/1812/8471/4880/84539/2834/4879/2695/2980/2689/4988/4159/186/4158",94
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","35/2183","71/9521",0.492957746478873,2.15000032259521,5.30478419069575,9.79204471300905e-07,5.67938593354525e-05,4.60397891769548e-05,"9/1548/7366/2947/5743/1549/10720/2950/2938/6817/7363/10/2946/27306/2949/6799/54490/1545/7367/7364/221357/873/2939/2940/1562/1558/1646/2953/2944/1543/54578/54575/1557/54658/54657",35
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","63/2183","158/9521",0.39873417721519,1.739050893846,5.10918780279846,1.16832657494572e-06,5.80825211544446e-05,4.70844394113465e-05,"991/898/4998/7272/1029/10403/6502/993/1111/1871/90381/9212/699/1870/9133/5347/9319/890/4176/10926/4175/23594/151648/8318/4174/4172/8317/11200/3066/7027/4173/113130/9232/26271/1021/81620/27127/994/27085/4085/5933/701/7043/983/4171/891/1869/1031/8900/1875/57082/9700/1663/2810/595/995/9134/4609/10912/9088/990/8379/168448",63
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","91/2183","254/9521",0.358267716535433,1.56255928957117,4.95646525088892,1.6463153150111e-06,7.16147162029827e-05,5.80542768977597e-05,"2066/2925/1131/887/185/1956/2255/8912/5733/5979/4233/84812/107/776/115/7039/3708/340156/9630/5336/3362/136/6261/26291/2065/6263/844/5578/80310/1139/778/3270/553/4776/8877/773/492/2904/5737/7201/816/491/952/7422/5137/2903/774/255231/8823/2254/4923/4485/5260/1128/2906/845/4843/5332/113/5567/57172/3356/2902/1816/8817/10800/114/4803/6262/51806/777/886/2253/26281/6869/100507027/5026/4842/3706/6543/100130933/2261/8074/6870/8822/3358/153/1812/810/89869/5535",91
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","82/2183","226/9521",0.36283185840708,1.58246547132103,4.833438490936,3.03121691984477e-06,0.000107775578527134,8.73679825930792e-05,"9568/480/10451/27198/1258/5733/107/10411/776/483/148327/115/2696/5465/3362/5443/5337/2737/2890/64208/477/1259/111/64764/1261/778/90993/4886/492/2904/2891/2867/22800/816/491/9586/6662/2903/2770/5727/6752/7434/1128/2906/51738/113/5567/3991/2740/2902/1080/1081/2353/7253/11149/1816/3355/114/6262/51806/10257/5142/2735/1906/116/10846/1907/6755/610/10021/84152/3354/2893/1813/153/1812/810/23439/1908/2695/4852/4158",82
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","33/2183","68/9521",0.485294117647059,2.11657594783218,5.03981255642816,3.09699938296363e-06,0.000107775578527134,8.73679825930792e-05,"339761/1548/7366/157506/8228/1549/10720/7363/56603/6121/54490/7367/7364/220/158835/54905/1555/9227/1592/1562/53630/1558/195814/126/8608/125/1543/50700/54578/54575/54658/131/54657",33
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","39/2183","86/9521",0.453488372093023,1.9778574396233,4.96832853216107,3.42329022718921e-06,0.000108300454460168,8.77934718551873e-05,"6833/3767/1131/480/3783/107/776/483/148327/115/477/111/5578/64764/6513/778/90993/3651/816/3778/9586/3780/3779/5332/113/5567/2740/114/885/6262/886/157855/116/6616/10242/2864/23439/2695/6514",39
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","34/2183","73/9521",0.465753424657534,2.03135059833458,4.82452210917405,6.97920748202968e-06,0.000202397016978861,0.000164072596945961,"1548/7366/2947/1549/2330/10720/2328/2950/2938/7363/2946/27306/2949/54490/7367/7364/221357/4128/222/2939/1555/2327/2940/1558/126/2953/2944/125/54578/54575/1557/54658/131/54657",34
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","47/2183","116/9521",0.405172413793103,1.76713080701976,4.53393726736147,1.57927354835348e-05,0.000408060561389012,0.00033079319556036,"5321/3760/2744/107/776/115/6511/2752/3708/5337/10991/2890/6505/2916/111/2914/2900/5578/2899/773/2904/2891/9762/9454/255189/59345/6506/123745/2903/2770/6512/51764/81539/2906/5332/113/5567/2902/2912/114/2786/2897/2917/57084/2893/9229/5535",47
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","41/2183","97/9521",0.422680412371134,1.84349070370388,4.55412573867646,1.64162294811671e-05,0.000408060561389012,0.00033079319556036,"1131/480/1473/1472/3783/107/483/4025/115/3708/1470/6263/477/111/5578/362/492/1471/491/3778/952/3346/277/5332/113/5567/55503/653247/114/51806/1755/4069/5542/4842/54831/1469/153/810/23439/3347/6779",41
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","22/2183","41/9521",0.536585365853659,2.34027909679005,4.69071981284234,1.84741281097634e-05,0.000428599772146512,0.000347443251467832,"2568/2558/2890/1139/773/2564/2904/2891/2903/774/8973/2906/2567/2902/2555/55879/1141/2569/2556/57084/2893/140679",22
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","35/2183","79/9521",0.443037974683544,1.93227877094,4.53820208373731,2.00734612606208e-05,0.000436597782418503,0.000353926816963578,"22977/1548/7366/2947/1549/10720/246181/2950/1572/2938/7363/2946/27306/2949/54490/1545/7367/7364/221357/27294/222/873/2939/1555/2940/126/2953/2944/125/1543/54578/54575/54658/131/54657",35
"Organismal Systems","Digestive system","hsa04976","Bile secretion","38/2183","90/9521",0.422222222222222,1.84149233979742,4.37470766950023,3.40905744401807e-05,0.000697854112069582,0.000565713557273587,"480/7366/107/483/115/10720/477/111/949/6513/6579/7363/361/54490/9429/7367/7364/366/113/5567/1080/28234/114/5243/8671/10257/343/9971/8647/6523/54578/9376/23439/54575/10599/6555/54658/54657",38
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and
cytokine receptor","41/2183","100/9521",0.41,1.78818598259276,4.32152165299787,3.89357123737995e-05,0.000752757105893457,0.000610220521413933,"3572/50604/6374/146433/53833/6364/2919/3627/3559/9547/2921/53832/6355/6354/1524/6362/7124/3576/6372/6357/6373/6376/8793/8794/58985/5197/1230/6358/6369/6370/10344/6352/5473/5196/27178/8807/6346/6360/3577/4283/1235",41
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","75/2183","217/9521",0.345622119815668,1.50740641445945,4.12389365639939,5.42256491883847e-05,0.000993185574608309,0.000805123212326155,"5241/2099/367/993/1956/7366/79852/2255/332/107/2947/776/148327/115/688/596/5465/3838/1869/10720/111/5578/64764/1139/778/90993/10683/2938/773/7363/9970/55584/2946/595/408/2949/54490/9586/7422/1545/7367/774/2770/7364/4609/221357/1978/8823/2254/23746/2053/2939/113/1555/5567/990/2353/8817/114/2940/2253/1143/26281/1141/2953/2944/1543/8822/153/54578/407054/54575/54658/54657/406885",75
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","45/2183","115/9521",0.391304347826087,1.70664621880539,4.15819604246191,6.55451788439808e-05,0.00114048611188527,0.000924531996325623,"5321/3760/10411/6532/5743/776/3708/3362/260293/3359/111/247/5578/778/773/7166/6571/255189/9177/59345/123745/774/2770/4128/51764/3751/1843/5332/5567/3356/3355/3765/1562/2786/170572/285242/1558/1644/3354/242/3763/3358/6570/121278/1557",45
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","52/2183","139/9521",0.37410071942446,1.63161381110412,4.09136091533535,7.56935361811495e-05,0.00125435002814476,0.00101683547351118,"5241/2099/7031/3868/9687/9568/3760/1956/5914/107/399694/3857/148327/115/8688/596/7039/3708/3875/5443/111/64764/90993/3872/3885/25984/3861/53358/9586/25759/192666/2770/2852/5332/113/5567/2353/8687/114/3765/3884/3882/51806/3310/3886/390792/125115/3859/3763/810/54474/4988",52
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","30/2183","69/9521",0.434782608695652,1.89627357645044,4.07530174214643,0.00011758578249401,0.00185999328672344,0.0015077985506409,"3066/776/148327/2890/111/5578/64764/90993/2904/2891/6571/816/9586/2903/4128/2906/5567/2902/2353/2354/5173/51806/7054/1644/84152/2893/6570/1812/810/5535",30
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","32/2183","76/9521",0.421052631578947,1.83639125298358,3.99274694121248,0.00014778266744687,0.00223601601180481,0.00181262036044673,"1131/887/480/107/483/115/3708/340156/477/115111/111/5578/816/3759/2770/495/496/6752/3766/5332/113/5567/1080/114/2520/3772/3773/51806/389015/3758/810/23439",32
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","27/2183","61/9521",0.442622950819672,1.93046867373069,3.97628581490303,0.00017712917416563,0.00245262768061434,0.00198821602663231,"480/115019/1811/30061/540/341208/483/79901/113235/4496/477/140803/7018/492/261729/491/4501/10568/55503/795/4489/340024/6543/6569/6523/23439/645745",27
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","23/2183","49/9521",0.469387755102041,2.04720147335159,4.00833423695678,0.000181422672868266,0.00245262768061434,0.00198821602663231,"148327/111/64764/90993/2904/2891/6571/9586/2903/2770/4128/2906/5567/2902/2912/2354/5173/7054/1644/84152/1813/6570/1812",23
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","41/2183","106/9521",0.386792452830189,1.68696790810638,3.87914227199618,0.000183242297976933,0.00245262768061434,0.00198821602663231,"1360/1131/480/1811/5874/5646/107/483/1359/115/3708/8399/477/111/5578/1358/391013/492/491/3778/952/277/5332/113/1080/114/8671/885/6262/886/22802/5407/64600/1357/26279/50487/5408/440387/23439/5406/9635",41
